Language,Namespace,Key
de,common,jobPreferences.desiredWorkPercentage
de,common,auth.errors.nameRequired
de,common,common.processing
de,common,dashboard.onboarding.phoneVerification.verify
de,common,professionalBackground.title
de,common,userMenu.logout
de,common,noContractsFound
de,common,auth.errors.invalidPhoneCode
de,common,common.mandatoryFields
de,common,settings.accountDeletion.noLegalRecords
de,common,allCategories
de,common,web-vitals
de,common,settings.platformSettingsDescription
de,common,../facilities/configs/facility.json
de,common,subscription.features.facility.premium.customBranding
de,common,auth.login.title
de,common,billingInformation.resendCode
de,common,auth.success.phoneVerified
de,common,accountBasics.deleteAccountDialogTitle
de,common,availability
de,common,accountBasics.addPicture
de,common,contact.form.submit
de,common,operations.facilityRolesTitle
de,common,dashboard.onboarding.step2.title
de,common,hero.title
de,common,subscription.features.premium.priorityMatching
de,common,accountBasics.deleteConfirmationDetails
de,common,\n
de,common,errors.retry
de,common,contact.form.namePlaceholder
de,common,dashboard.onboarding.step1.restrictedServices.modal.intro
de,common,billingInformation.sendToPhone
de,common,contact.form.submitting
de,common,apply_filter
de,common,billingInformation.sendCode
de,common,common.linkCopied
de,common,dashboard.onboarding.step1.restrictedServices.modal.internalScheduling
de,common,contact.form.phonePlaceholder
de,common,privacy.sections.content.last_updated_full_text
de,common,accessLevelChoice.completeProfile
de,common,jobPreferences.workPreferences
de,common,operations.invitationWhatsAppMessage
de,common,settings.operationalSettingsTitle
de,common,auth.signup.email
de,common,auth.signup.creating
de,common,privacy.sections
de,common,../pages/admin/EmailCenter
de,common,auth.invitation.facility
de,common,style
de,common,personalDetails.phonePrefix
de,common,created
de,common,ctaDescription
de,common,documents.selectEducationPlaceholder
de,common,userMenu.user
de,common,/invite/
de,common,auth.verificationSent.title
de,common,account.passwordManagementDescription
de,common,billingInformation.accessCodeLabel
de,common,backToBlog
de,common,searchResults
de,common,dashboard.header.createBusiness
de,common,dashboard.onboarding.step3.chain.phoneNumber
de,common,accountBasics.smsNotifications
de,common,dashboard.onboarding.step1.termsAcceptance
de,common,operations.invitationGenerationFailed
de,common,operations.workerRequirementsDescription
de,common,dashboard.onboarding.step1.note
de,common,subscription.premium.price
de,common,dashboard.onboarding.step3.chain.title
de,common,dashboard.onboarding.step1.restrictedServices.modal.title
de,common,operations.workerRequirement
de,common,common.cached
de,common,accessLevelChoice.selectTeamAccess
de,common,accountBasics.errors.uploadFailed
de,common,cantons
de,common,personalDetails.summaryPlaceholder
de,common,subscription.facilityTitle
de,common,dashboard.onboarding.step5.description
de,common,settings.notificationPreferencesTitle
de,common,billingInformation.testEmailSent
de,common,accessLevelChoice.teamAccess.benefit3
de,common,accessLevelChoice.title
de,common,labels.type
de,common,auth.signup.welcomeMessage
de,common,subscription.features.premium.bankingAccess
de,common,jobPreferences.targetHourlyRate
de,common,subscription.features.facility.standard.analytics
de,common,professionalBackground.experience
de,common,dashboard.onboarding.step2.professional
de,common,dashboard.onboarding.step2.facilityDescription
de,common,accountBasics.subtitle
de,common,facility
de,common,subscription.upgradeToPremium
de,common,type
de,common,auth.errors.googleLoginFailed
de,common,billingInformation.testEmailFailed
de,common,dashboard.onboarding.step1.facilityLegalText1
de,common,contact.form.companyPlaceholder
de,common,accountBasics.public
de,common,dashboard.onboarding.step1.restrictedServices.title
de,common,auth.signup.emailVerificationDesc
de,common,accessLevelChoice.fullAccess.benefit4
de,common,hero.tagLine
de,common,dashboard.onboarding.step4.description
de,common,Error exporting shifts
de,common,missionVision.commitmentSection.title
de,common,dashboard.onboarding.errors.missing_document_type
de,common,dashboard.onboarding.step1.professionalLegalText3
de,common,personalDetails.subtitle
de,common,billingInformation.bankingAccessMessage
de,common,subscription.features.facility.premium.apiAccess
de,common,errors.loadingConversations
de,common,contact.form.errors.nameRequired
de,common,dashboard.onboarding.docs.facility_bill.title
de,common,accountBasics.deleteAccount
de,common,settings.leaveFacility.button
de,common,Admin rights removed.
de,common,contact.form.success.title
de,common,locked
de,common,dashboard.onboarding.phoneVerification.sending
de,common,dashboard.onboarding.step1.facilityLegalText2
de,common,labels.position
de,common,auth.emailVerificationCode
de,common,common.confirmDeletePicture
de,common,missionVision.title
de,common,account.passwordManagement
de,common,../admin/pages/operations/UserCRM
de,common,auth.errors.emailInvalid
de,common,location
de,common,dashboard.onboarding.docs.internal_ref
de,common,dashboard.navigation.payroll
de,common,contractOverview
de,common,documents.selectQualificationPlaceholder
de,common,settings.facilityMemberships.subtitle
de,common,aside
de,common,auth.errors.emailVerificationFailed
de,common,../admin/pages/operations/ShiftCommandCenter
de,common,accountBasics.errors.passwordsDoNotMatch
de,common,dashboard.header.resetProfile
de,common,settings.operationalSettingsDescription
de,common,missionVision.experienceSection.title
de,common,accessLevelChoice.fullAccess.benefit3
de,common,auth.signup.firstNamePlaceholder
de,common,operations.open
de,common,settings.accountManagement.description
de,common,Error searching. Please try again.
de,common,operations.closingTime
de,common,billingInformation.unlockBanking
de,common,billingInformation.accessValidityInfo
de,common,errors.tooManyRequests
de,common,values.value3.description
de,common,operations.workerTypeOther
de,common,labels.noticePeriod
de,common,aboutAuthor
de,common,auth.errors.verificationFailed
de,common,settings.accountDeletion.previewTitle
de,common,settings.accountDeletion.success
de,common,dashboard.tutorial.selectionTitle
de,common,Error rejecting user. Please try again.
de,common,auth.signup.termsAgreement
de,common,auth.signup.didntReceiveCode
de,common,Error performing action. Please try again.
de,common,operations.subtitle
de,common,dashboard.onboarding.phoneVerification.operationNotAllowed
de,common,dashboard.onboarding.step2.description
de,common,accountBasics.pushNotifications
de,common,auth.forgotPassword.email
de,common,dashboard.onboarding.step1.areYouEmployedDescription
de,common,operations.title
de,common,dashboard.onboarding.docs.facility_id.title
de,common,app_error
de,common,calculatedEndDate
de,common,auth.errors.loginFailed
de,common,dashboard.onboarding.step2.professionalDescription
de,common,Error updating document. Please try again.
de,common,User removed from facility successfully.
de,common,settings.leaveFacility.error
de,common,featured.title
de,common,auth.backToLogin
de,common,notes
de,common,auth.invitation.acceptError
de,common,accountBasics.currentPassword
de,common,../pages/marketplace/Marketplace
de,common,dashboard.onboarding.step1.restrictedServices.modal.facilityInternal
de,common,downloadPdf
de,common,Schedule updated successfully!
de,common,values.value2.title
de,common,subscription.features.facility.basic.documentStorage
de,common,dashboard.onboarding.step1.professionalLegalNotice
de,common,settings.marketplaceSettingsTitle
de,common,facilityDetails.groupTitle_legalRep
de,common,downloadPdfFailed
de,common,dashboard.navigation.profile
de,common,company
de,common,dashboard.onboarding.step1.professionalLegalText4
de,common,dashboard.onboarding.step1.restrictedServices.modal.teamCollaboration
de,common,operations.workerType
de,common,settings.leaveFacility.toConfirm
de,common,dashboard.navigation.calendar
de,common,cta.forFacilities
de,common,subscription.facility.standard.price
de,common,../admin/pages/ExecutiveDashboard
de,common,settings.accountDeletion.subtitle
de,common,jobPreferences.availabilityStatus
de,common,privacy.sections.content.derniere_mise_a_jour_texte_complet
de,common,accountBasics.deleteEffect1
de,common,labels.salary
de,common,terms.meta.description
de,common,auth.invitation.error
de,common,subscription.features.facility.standard.prioritySupport
de,common,dashboard.onboarding.docs.upload_bill
de,common,accountBasics.profileVisibility
de,common,accessLevelChoice.fullAccess.benefit2
de,common,accountBasics.errors.wrongPassword
de,common,operations.noWorkerRequirements
de,common,Error creating notification
de,common,operations.generatingInvitation
de,common,.switch-wrapper
de,common,../pages/Blog/BlogPost
de,common,2d
de,common,h1meta.description
de,common,contact_pharmacist
de,common,__NOT__
de,common,operations.atLeastOneWorkerRequired
de,common,personalDetails.summary
de,common,auth.errors.termsRequired
de,common,subscription.features.classic.emailNotifications
de,common,auth.login.resetPassword
de,common,userMenu.settings
de,common,searchPlaceholder
de,common,operations.openingHoursTitle
de,common,labels.endDate
de,common,auth.signup.enterPhoneCode
de,common,recurringEvent
de,common,dashboard.onboarding.buttons.back
de,common,dashboard.onboarding.step1.restrictedServices.modal.interimServices
de,common,jobPreferences.workRadius
de,common,auth.errors.passwordRequired
de,common,billingInformation.subtitle
de,common,accountBasics.notificationPreferences
de,common,dashboard.onboarding.profession.select
de,common,accountBasics.newPassword
de,common,dashboard.header.createBusinessDesc
de,common,dashboard.header.createProfessionalDesc
de,common,accountBasics.errors.fileTooLarge
de,common,errors.description
de,common,settings.premiumFeature
de,common,personalDetails.selectPhonePrefix
de,common,h1meta.keywords
de,common,auth.invitation.accepted
de,common,billingInformation.invalidAccessCode
de,common,terms.title
de,common,closeDetails
de,common,auth.login.password
de,common,settings.generalTab
de,common,operations.invitationGenerated
de,common,div
de,common,dashboard.onboarding.docs.select_id_type
de,common,auth.invitation.tokenMissing
de,common,Error sending notification
de,common,settings
de,common,operations.facilityRolesDescription
de,common,documents.remove
de,common,dashboard.tutorial.selectionSubtitle
de,common,auth.errors.signupFailed
de,common,auth.verificationSent.message
de,common,documents.subtitle
de,common,settings.dataSecurityMessage
de,common,support.contact.title
de,common,accountDelete
de,common,billingInformation.backToMethodSelection
de,common,settings.availabilityNotes
de,common,../../locales/en/blog/posts.json
de,common,dashboard.onboarding.errors.missing_document
de,common,billingInformation.payrollDataTitle
de,common,accountBasics.changePicture
de,common,missionVision.insightSection.title
de,common,billingInformation.codeSentTo
de,common,../pages/messages/Messages
